Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
652fe5987f0f2e5141eb99ba,63e5260a19f2002a9c386a2e,APPROVED,2023-10-18T14:03:10.167000Z,2023-10-18T14:16:47.477000Z,2023-10-18T15:09:12.665000Z,2023-10-18T14:16:47.924236Z,818.0,CEG7MUN1,90,English,25,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
652fe5aab047166ed2f463cc,5c762ce8eda5da001662be0b,APPROVED,2023-10-18T14:03:24.087000Z,2023-10-18T14:14:15.954000Z,2023-10-18T15:09:13.159000Z,2023-10-18T14:14:16.447919Z,652.0,CEG7MUN1,579,English,28,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
652fe5e51bd51cbe947d2e3a,5fec594488f057dbd3bdec07,APPROVED,2023-10-18T14:04:21.614000Z,2023-10-18T14:24:03.684000Z,2023-10-18T15:09:13.389000Z,2023-10-18T14:24:04.199940Z,1183.0,CEG7MUN1,518,"English, Spanish",26,Female,White,United Kingdom,Spain,United Kingdom,English,No,Part-Time
652fe64822defd73fceb0931,6286575f2d911d52cff2db4e,APPROVED,2023-10-18T14:06:29.754000Z,2023-10-18T14:14:35.469000Z,2023-10-18T15:09:13.591000Z,2023-10-18T14:14:36.040068Z,486.0,CEG7MUN1,860,English,24,Male,White,United States,United States,United States,English,No,Full-Time
652fe64d0b4172f30694e878,5dbb34b222ea1813c1a0b1ee,APPROVED,2023-10-18T14:06:08.498000Z,2023-10-18T14:19:06.503000Z,2023-10-18T15:09:13.856000Z,2023-10-18T14:19:06.951633Z,779.0,CEG7MUN1,1009,English,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
652fe6527e425b0af6bc590f,6108c9ff6ef4a6de22a3c162,APPROVED,2023-10-18T14:06:54.975000Z,2023-10-18T14:23:34.096000Z,2023-10-18T15:09:14.096000Z,2023-10-18T14:23:34.713209Z,1000.0,CEG7MUN1,99,"English, Romanian",37,Male,White,Romania,Canada,Romania,English,Yes,Full-Time
652fe65947b65d3b2fefc9dc,647420d25113966c605f59dd,APPROVED,2023-10-18T14:06:42.110000Z,2023-10-18T14:50:12.816000Z,2023-10-18T15:09:14.331000Z,2023-10-18T14:50:13.430009Z,2611.0,CEG7MUN1,38,English,63,Female,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
652fe65dc7efec23781a5e43,572bc95234b25a0009dcbf7c,APPROVED,2023-10-18T14:06:21.215000Z,2023-10-18T14:17:53.528000Z,2023-10-18T15:09:14.589000Z,2023-10-18T14:17:54.060532Z,693.0,CEG7MUN1,490,English,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
652fe7a2d5dc2701fafb75f5,598b108e504c5200011964a1,APPROVED,2023-10-18T14:11:49.291000Z,2023-10-18T14:27:37.321000Z,2023-10-18T15:09:14.905000Z,2023-10-18T14:27:37.799085Z,949.0,CEG7MUN1,974,"Spanish, English, German, French",37,Female,Other,Mexico,Switzerland,Mexico,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
652fe7a79e90c0a5d4b2a8f5,5fd50a355025422fd25bb05b,APPROVED,2023-10-18T14:11:51.718000Z,2023-10-18T14:24:11.021000Z,2023-10-18T15:09:15.116000Z,2023-10-18T14:24:11.707353Z,740.0,CEG7MUN1,521,"English, Afrikaans",28,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
652fe5f5c070f09bfe31bdf0,63f78aed5e77e326985cd897,RETURNED,2023-10-18T14:04:43.175000Z,,,,,,98,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
652fe6587f0f2e5141eb99ed,61002bb71b66ea88772a39f3,RETURNED,2023-10-18T14:06:18.554000Z,,,,,,938,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
