"","prolific_id","total_score","bonus"
"1","5efef7a02e80084179599349",4816,0.16
"2","5c05a3a901dc6a0001f9524b",10383,0.35
"3","5ad3fc75b02aca00012739b4",10894,0.36
"4","5efa5e5318bc3f88c33c96d3",10928,0.36
"5","5d88be0938f387001561951e",20742,0.69
"6","5c732f631388ff0001100e6d",10528,0.35
"7","5f5b2a65cb0a65239532cd00",21890,0.73
"8","609867b0b776ee0e3d256324",8669,0.29
"9","59d6c6273e5ea00001e1cf4e",17037,0.57
"10","63f7f9c1667fdae7a300f6d9",5553,0.19
"11","5db0d653cb16d8001305ea1b",18606,0.62
"12","60045528de83e54c4efe39bf",7695,0.26
"13","61716de99ff5bfe6d7ab1cee",9271,0.31
"14","5f2dd26aae7ca81196825098",18004,0.6
"15","65babf3b1e6ab7b48e2fddf7",19032,0.63
"16","5e6a45499afc710a6a279e37",8110,0.27
"17","5fe848f115b59b69cf9b06b6",2200,0.07
"18","63d402212232182881740c06",8800,0.29
"19","62850a124de32f71f54a8aec",18858,0.63
"20","5e695632d40a492070942196",1200,0.04
"21","6310c063bd0cce86b0289d20",9041,0.3
"22","6347200d8ded5172ec43e0bb",18584,0.62
"23","59e0be41d838ae0001850712",5054,0.17
"24","62b44f66a16d45783569fad6",18937,0.63
"25","5ec96e3609117f0a67231842",6700,0.22
"26","6012ed349807110d8eb941a6",9216,0.31
"27","6321d9c78e8e3c04f82a0ea0",7350,0.24
"28","650ee243f7197c7525785e7c",6226,0.21
"29","61fa9016d42cb19beec49061",8365,0.28
"30","65e727a18bd154fb3944a1fd",8220,0.27
"31","66130bb591837698386adf43",6075,0.2
"32","5c3476a2f5ebd50001841284",8933,0.3
"33","5d31dc6e42678e001a0bdedd",7265,0.24
"34","605de3af48d7a575adb95b09",13458,0.45
"35","6272f5f3d37c1c9e88c115a2",10817,0.36
"36","65bd29a33fe10dcc8e183b52",12054,0.4
"37","61015f63f9a351d3171a0f98",7528,0.25
"38","62db2644ab0a3a353c0dcb54",9150,0.3
"39","5df7b6b6ef7f5e55506510c7",13774,0.46
"40","617406fbfced12169896d158",4000,0.13
"41","5e36be214de4516479b48f31",20932,0.7
"42","63c7cd1978d4e762c6e4b6e0",9000,0.3
"43","5f9822ed09bb3d07b22d6c8d",5625,0.19
"44","5d8d12f6d88e3a00142c9751",17919,0.6
"45","5d49d17b3dad1f0001e2aba1",15160,0.51
"46","5fe7286bc92b3656632ac24d",10527,0.35
"47","5b52f4933234ab00014ca442",6800,0.23
"48","604fa685e33606f9a0ee8189",8953,0.3
"49","60342884b95a3823eaf5fd9b",18513,0.62
"50","614618f3146cc85f803c4e69",5550,0.18
"51","64007622a1b9dbf7a50405cb",8494,0.28
"52","650c4e4e880435c5ef4471d9",9450,0.32
"53","5b2a72f7c293b90001732b89",14584,0.49
"54","660b27070284966171a05a62",5375,0.18
"55","628781515f29a0394e23b15b",17561,0.59
"56","6540fa1d1e4eb891d5eeeb19",18570,0.62
"57","652fd6db8f5f2657e3ce2f0e",18652,0.62
"58","65849d63f7613970b9eb85ee",8839,0.29
"59","6408a0beab86c9fdf454861f",6400,0.21
"60","63468b5809bf04222262bfed",10245,0.34
"61","6100105892a2248ae5d48498",11209,0.37
"62","6156fef09d1ab07148870099",7507,0.25
"63","64457bc906c125cebd4bf66b",8675,0.29
"64","5c92f797803bff0017fef8dd",13586,0.45
