"","prolific_id","date","time","assignment","age","sex","total_score","task_duration","engagement","difficulty","strategy","feedback","token","start_time"
"1","614f697a16e2e5759e1f4b3e","2023_10_26","09_16_31","k8","29","female",710,211265,"8","2","I would attempt fusing letters till i got a combo and then i would extract from the combo for the ret of my turns because it was worth more points.","na","1A2RZK6B",1698243119589
"2","5b1e462988ee7400012b35ec","2023_10_26","16_24_06","u2","31","female",2300,252092,"10","8","I tried to find as many combinations as I could for the first few goes. If my number of tries on the machine was dwindling I stopped looking for combinations and just extracted a few to earn points","It was fun I could have played for longer!","E0W0YIS9",1698243533579
"3","62e155af06ef3f987f4925f3","2023_10_26","16_25_46","u8","23","male",1840,281273,"9","2","Strategy was to try and make the largest crystal early on and then cash in with the last few button presses ","No comments ","AHF8GUQY",1698243603844
"4","610842e2de208e862b564e72","2023_10_26","11_25_54","k8","24","female",910,370290,"10","3","Try to combine the most things I could to get more intricate crystals which would give most points","","IK60Z8H8",1698243522956
"5","614b44f281d2a39162884843","2023_10_26","16_28_13","u2","32","male",4300,209665,"8","2","i decided fusing offered little gain and just extracted all","Im pretty sure the quiz question about crystals from the same location being the same crystal was wrong","KU0RORV1",1698243822783
"6","5f48eaf6951dbe29243028a4","2023_10_26","16_30_40","k8","28","male",690,199731,"8","4","Get as many points as possible","No","L2GF6DC4",1698243980198
"7","5d225f02bf7f840001701aa3","2023_10_26","16_36_35","u2","34","male",4550,350099,"9","4","Try to get the largest set until last 2 or 3 goes","","RBNS4YGI",1698244184003
"8","60292aabf20c7d2af65541a7","2023_10_26","17_38_34","u8","35","female",490,510380,"10","5","I created at least one new crystal and extracted energy from it like I was digging for gold.","It was fun I enjoyed it a lot. I would like a game like it for my kid.","25T7GJ17",1698244142919
"9","63065f726908903c75544400","2023_10_26","16_40_29","k8","28","female",355,291958,"9","5","Working along each letter ","","336OEHVM",1698244476460
"10","5fb2e72ac95e4c9ab7a082da","2023_10_26","11_45_04","u2","27","male",4250,244279,"10","4","tried making the most money as possible","no","FULZ46MM",1698244799281
"11","62a33c442c64c9d129b53f32","2023_10_26","17_14_18","k8","67","male",1320,455454,"8","4","Get a few fusuins and then extract","Good fun","24V937CJ",1698246342434
"12","6447a21bdb359b012f49465b","2023_10_26","17_27_04","u8","26","female",4615,373473,"8","3","If something fused I would try and keep fusing them together until it stopped","-","POP4QY88",1698247190044
"13","6413573d24d5fbfedfb3fefa","2023_10_26","19_25_01","k2","20","male",5350,276788,"9","3","To try and get a fuse due to the amount of points I could acquire was more than I would get from wasting half the goes to find the fuse","NA","SFWUWBYX",1698254363811
"14","62c8391cd913ab9b5317d5f9","2023_10_26","19_26_39","k2","41","male",5550,322278,"9","7","Finding a combo that fused and then repeatedly extracting these","It was fun!","GK7OBRY7",1698254416568
"15","5cae6a77b38ea60016e54889","2023_10_26","19_27_23","k2","23","female",3300,272497,"9","4","Extract each crystal then try find matches ","","LVBFC7ZY",1698254510175
"16","62e09943165d4dadd8b8f096","2023_10_26","19_35_42","k2","20","male",4100,380405,"10","6","Trying to get a  successful fusion asap","","RAA0GTNP",1698254901010
"17","5dc30f64a67bd42279770720","2023_10_26","19_37_46","k2","32","female",5550,385846,"9","0","I tried to fuse for my first two to three goes then made sure to extract the highest crystal value I had been able to create to ensure I was able to get as many points as possible.","","CN7U0WE2",1698255019297
"18","631610af8e747093cd90e00d","2023_10_26","20_24_51","k2","38","female",3200,198483,"5","0","I tried to find a fusion and once energy got low I just extracted the most I could","No comments","AAWNA79Y",1698258032286
"19","5f6b8c1f5622370b0c94d597","2023_10_26","20_33_34","k2","35","male",4550,495519,"6","5","I just didnt waste time on fusion since ilthe chances were so low","The quiz questions were very poorly wordedambiguous particularly the question about new crystals (did that mean fusions or a new batch?) and the question asking if crystals with the same labels are the same crystals (the instructions say nothing about this only that the letters refer to their location). I had to take it several times to find the expected combination of answers which was very time consuming. ","0FKXIADK",1698258258398
"20","5b258c9ba7cee100011d8aad","2023_10_26","20_55_14","k2","29","male",5800,238851,"8","4","I tried quickly to come up with fusions because if I can find one early it is worth a lot more points. If I dont find them quickly then I just went with single crystals to get some points that round","I understood everything clearly and there were no errors","LK5JR9ZF",1698259814798
